Training Error
MSE: 2569.701995460871
RMSE: 50.69222815640353
NRMSE: 0.17275643396533244
MAE: 22.081471422742084
MBE: 0.04784403023165457
sMAPE: 14.417483066894688
R^2: 0.9554025367848581

Validation Error
MSE: 3110.1808558765442
RMSE: 55.76899547128802
NRMSE: 0.1827531223273849
MAE: 23.883242274482708
MBE: -1.6696200377317303
sMAPE: 14.890874707822668
R^2: 0.9491084417765162

Testing Error
MSE: 3712.246362121727
RMSE: 60.92820662157821
NRMSE: 0.20386125666627275
MAE: 28.507809927809834
MBE: -4.345257635054371
sMAPE: 17.743348773897306
R^2: 0.9363252869287958
